CONCEPT_ID,ICD10code,description,body_system,Progressive,code_heading,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,standard_code,standard_name
37200554,I69.910,Attention and concentration deficit following unspecified cerebrovascular disease,neurological,no,I699,Attention and concentration deficit following unspecified cerebrovascular disease,Condition,ICD10CM,40482301,Residual cognitive deficit as late effect of cerebrovascular accident
37200555,I69.911,Memory deficit following unspecified cerebrovascular disease,neurological,no,I699,Memory deficit following unspecified cerebrovascular disease,Condition,ICD10CM,40482301,Residual cognitive deficit as late effect of cerebrovascular accident
37200556,I69.912,Visuospatial deficit and spatial neglect following unspecified cerebrovascular disease,neurological,no,I699,Visuospatial deficit and spatial neglect following unspecified cerebrovascular disease,Condition,ICD10CM,40482301,Residual cognitive deficit as late effect of cerebrovascular accident
37200557,I69.913,Psychomotor deficit following unspecified cerebrovascular disease,neurological,no,I699,Psychomotor deficit following unspecified cerebrovascular disease,Condition,ICD10CM,40482301,Residual cognitive deficit as late effect of cerebrovascular accident
37200558,I69.914,Frontal lobe and executive function deficit following unspecified cerebrovascular disease,neurological,no,I699,Frontal lobe and executive function deficit following unspecified cerebrovascular disease,Condition,ICD10CM,40482301,Residual cognitive deficit as late effect of cerebrovascular accident
37200559,I69.915,Cognitive social or emotional deficit following unspecified cerebrovascular disease,neurological,no,I699,Cognitive social or emotional deficit following unspecified cerebrovascular disease,Condition,ICD10CM,40482301,Residual cognitive deficit as late effect of cerebrovascular accident
37200560,I69.918,Other symptoms and signs involving cognitive functions following unspecified cerebrovascular disease,neurological,no,I699,Other symptoms and signs involving cognitive functions following unspecified cerebrovascular disease,Condition,ICD10CM,40482301,Residual cognitive deficit as late effect of cerebrovascular accident
37200561,I69.919,Unspecified symptoms and signs involving cognitive functions following unspecified cerebrovascular disease,neurological,no,I699,Unspecified symptoms and signs involving cognitive functions following unspecified cerebrovascular disease,Condition,ICD10CM,40482301,Residual cognitive deficit as late effect of cerebrovascular accident
37200584,J98.51,Mediastinitis,pulmonary/respiratory,no,J985,Mediastinitis,Condition,ICD10CM,4189294,Inflammatory disorder of mediastinum
37200585,J98.59,"Other diseases of mediastinum, not elsewhere classified",pulmonary/respiratory,no,J985,"Other diseases of mediastinum, not elsewhere classified",Condition,ICD10CM,440142,Disorder of mediastinum
37200720,M50.020,"Cervical disc disorder with myelopathy, mid-cervical region, unspecified level",musculoskeletal,no,M500,"Cervical disc disorder with myelopathy, mid-cervical region, unspecified level",Condition,ICD10CM,139906,Intervertebral disc disorder of cervical region with myelopathy
37200721,M50.021,Cervical disc disorder at C4-C5 level with myelopathy,musculoskeletal,no,M500,Cervical disc disorder at C4-C5 level with myelopathy,Condition,ICD10CM,139906,Intervertebral disc disorder of cervical region with myelopathy
37200722,M50.022,Cervical disc disorder at C5-C6 level with myelopathy,musculoskeletal,no,M500,Cervical disc disorder at C5-C6 level with myelopathy,Condition,ICD10CM,139906,Intervertebral disc disorder of cervical region with myelopathy
37200723,M50.023,Cervical disc disorder at C6-C7 level with myelopathy,musculoskeletal,no,M500,Cervical disc disorder at C6-C7 level with myelopathy,Condition,ICD10CM,139906,Intervertebral disc disorder of cervical region with myelopathy
37200876,N13.0,Hydronephrosis with ureteropelvic junction obstruction,renal ,no,N13,Hydronephrosis with ureteropelvic junction obstruction,Condition,ICD10CM,4151635,Hydronephrosis with ureteropelvic junction obstruction
37201016,Q25.21,Interruption of aortic arch,cardiac,no,Q252,Interruption of aortic arch,Condition,ICD10CM,433860,Interrupted aortic arch
37201017,Q25.29,Other atresia of aorta,cardiac,no,Q252,Other atresia of aorta,Condition,ICD10CM,4253808,Congenital atresia of aorta
45532819,A18.82,Tuberculosis of the endocrine glands,endocrinological,no,A1882,Tuberculosis of other endocrine glands,Condition,ICD10CM,434557,Tuberculosis
45532899,C34.02,Malignant neoplasm of left main bronchus,malignancy,n/a,C3,Malignant neoplasm of left main bronchus,Condition,ICD10CM,257503,Primary malignant neoplasm of main bronchus
45532904,C44.111,"Basal cell carcinoma of skin of unspecified eyelid, including canthus",malignancy,n/a,C44,"Basal cell carcinoma of skin of unspecified eyelid, including canthus",Condition,ICD10CM,4335883,Basal cell carcinoma of eyelid
45532907,C44.40,Unspecified malignant neoplasm of skin of scalp and neck,malignancy,n/a,C44,Unspecified malignant neoplasm of skin of scalp and neck,Condition,ICD10CM,4157456,Primary malignant neoplasm of skin head and neck
45532908,C44.712,"Basal cell carcinoma of skin of right lower limb, including hip",malignancy,n/a,C44,"Basal cell carcinoma of skin of right lower limb, including hip",Condition,ICD10CM,4299418,Basal cell carcinoma of lower extremity
45532909,C44.722,"Squamous cell carcinoma of skin of right lower limb, including hip",malignancy,n/a,C44,"Squamous cell carcinoma of skin of right lower limb, including hip",Condition,ICD10CM,4298028,Squamous cell carcinoma of skin of lower extremity
45532910,C44.91,"Basal cell carcinoma of skin, unspecified",malignancy,n/a,C44,"Basal cell carcinoma of skin, unspecified",Condition,ICD10CM,4112752,Basal cell carcinoma of skin
45532911,C50.111,Malignant neoplasm of central portion of right female breast,malignancy,n/a,C5,Malignant neoplasm of central portion of right female breast,Condition,ICD10CM,432845,Primary malignant neoplasm of central portion of female breast
45532912,C50.121,Malignant neoplasm of central portion of right male breast,malignancy,n/a,C5,Malignant neoplasm of central portion of right male breast,Condition,ICD10CM,135489,Primary malignant neoplasm of male breast
45532915,C56.2,Malignant neoplasm of left ovary,malignancy,n/a,C5,Malignant neoplasm of left ovary,Condition,ICD10CM,200051,Primary malignant neoplasm of ovary
45532916,C57.20,Malignant neoplasm of unspecified round ligament,malignancy,n/a,C5,Malignant neoplasm of unspecified round ligament,Condition,ICD10CM,441520,Primary malignant neoplasm of round ligament of uterus
45532919,C62.90,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",malignancy,n/a,C6,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended",Condition,ICD10CM,433716,Primary malignant neoplasm of testis
45532920,C62.92,"Malignant neoplasm of left testis, unspecified whether descended or undescended",malignancy,n/a,C6,"Malignant neoplasm of left testis, unspecified whether descended or undescended",Condition,ICD10CM,433716,Primary malignant neoplasm of testis
45532921,C63.00,Malignant neoplasm of unspecified epididymis,malignancy,n/a,C6,Malignant neoplasm of unspecified epididymis,Condition,ICD10CM,80340,Primary malignant neoplasm of epididymis
45532923,C66.1,Malignant neoplasm of right ureter,malignancy,n/a,C6,Malignant neoplasm of right ureter,Condition,ICD10CM,200054,Primary malignant neoplasm of ureter
45532926,C69.01,Malignant neoplasm of right conjunctiva,malignancy,n/a,C6,Malignant neoplasm of right conjunctiva,Condition,ICD10CM,373151,Primary malignant neoplasm of conjunctiva (primary)
45532927,C69.31,Malignant neoplasm of right choroid,malignancy,n/a,C6,Malignant neoplasm of right choroid,Condition,ICD10CM,378696,Primary malignant neoplasm of choroid
45532928,C69.52,Malignant neoplasm of left lacrimal gland and duct,malignancy,n/a,C6,Malignant neoplasm of left lacrimal gland and duct,Condition,ICD10CM,372567,Primary malignant neoplasm of lacrimal gland
45532932,C74.02,Malignant neoplasm of cortex of left adrenal gland,malignancy,n/a,C7,Malignant neoplasm of cortex of left adrenal gland,Condition,ICD10CM,4162115,Primary malignant neoplasm of adrenal cortex
45532937,C79.49,Secondary malignant neoplasm of other parts of nervous system,malignancy,n/a,C7,Secondary malignant neoplasm of other parts of nervous system,Condition,ICD10CM,373425,Secondary malignant neoplasm of nervous system
45532937,C79.49,Secondary malignant neoplasm of other parts of nervous system,malignancy,n/a,C7,Secondary malignant neoplasm of other parts of nervous system,Condition,ICD10CM,35226226,Metastasis to the Other Parts of Nervous System
45532939,C79.89,Secondary malignant neoplasm of other specified sites,malignancy,n/a,C7,Secondary malignant neoplasm of other specified sites,Condition,ICD10CM,432851,Secondary malignant neoplastic disease
45532940,C7B.00,"Secondary carcinoid tumors, unspecified site",malignancy,n/a,C7,"Secondary carcinoid tumors, unspecified site",Condition,ICD10CM,45767695,Metastatic carcinoid tumor
45532941,C7B.04,Secondary carcinoid tumors of peritoneum,malignancy,n/a,C7,Secondary carcinoid tumors of peritoneum,Condition,ICD10CM,45767695,Metastatic carcinoid tumor
45532942,C81.14,"Nodular sclerosis classical Hodgkin lymphoma, lymph nodes of axilla and upper limb",malignancy,n/a,C8,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb",Condition,ICD10CM,314600,"Hodgkin's disease, nodular sclerosis of lymph nodes of axilla AND/OR upper limb"
45532943,C81.44,"Lymphocyte-rich classical Hodgkin lymphoma, lymph nodes of axilla and upper limb",malignancy,n/a,C8,"Lymphocyte-rich Hodgkin lymphoma, lymph nodes of axilla and upper limb",Condition,ICD10CM,438703,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of axilla AND/OR upper limb"
45532944,C82.01,"Follicular lymphoma grade I, lymph nodes of head, face, and neck",malignancy,n/a,C8,"Follicular lymphoma grade I, lymph nodes of head, face, and neck",Condition,ICD10CM,438698,"Malignant lymphoma of lymph nodes of head, face AND/OR neck"
45532944,C82.01,"Follicular lymphoma grade I, lymph nodes of head, face, and neck",malignancy,n/a,C8,"Follicular lymphoma grade I, lymph nodes of head, face, and neck",Condition,ICD10CM,4002357,"Follicular non-Hodgkin's lymphoma, small cleaved cell (clinical)"
45532945,C82.08,"Follicular lymphoma grade I, lymph nodes of multiple sites",malignancy,n/a,C8,"Follicular lymphoma grade I, lymph nodes of multiple sites",Condition,ICD10CM,45765770,Follicular non-Hodgkin's lymphoma diffuse follicle center sub-type grade 1
45532947,C82.34,"Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb",malignancy,n/a,C8,"Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb",Condition,ICD10CM,441521,Malignant lymphoma of lymph nodes of axilla AND/OR upper limb
45532947,C82.34,"Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb",malignancy,n/a,C8,"Follicular lymphoma grade IIIa, lymph nodes of axilla and upper limb",Condition,ICD10CM,4003833,"Follicular non-Hodgkin's lymphoma, large cell (clinical)"
45532948,C82.43,"Follicular lymphoma grade IIIb, intra-abdominal lymph nodes",malignancy,n/a,C8,"Follicular lymphoma grade IIIb, intra-abdominal lymph nodes",Condition,ICD10CM,4003833,"Follicular non-Hodgkin's lymphoma, large cell (clinical)"
45532948,C82.43,"Follicular lymphoma grade IIIb, intra-abdominal lymph nodes",malignancy,n/a,C8,"Follicular lymphoma grade IIIb, intra-abdominal lymph nodes",Condition,ICD10CM,200349,Malignant lymphoma of intra-abdominal lymph nodes
45532949,C82.62,"Cutaneous follicle center lymphoma, intrathoracic lymph nodes",malignancy,n/a,C8,"Cutaneous follicle center lymphoma, intrathoracic lymph nodes",Condition,ICD10CM,435492,Nodular lymphoma of intrathoracic lymph nodes
45532949,C82.62,"Cutaneous follicle center lymphoma, intrathoracic lymph nodes",malignancy,n/a,C8,"Cutaneous follicle center lymphoma, intrathoracic lymph nodes",Condition,ICD10CM,4301668,Primary cutaneous follicular center B-cell lymphoma
45532950,C82.88,"Other types of follicular lymphoma, lymph nodes of multiple sites",malignancy,n/a,C8,"Other types of follicular lymphoma, lymph nodes of multiple sites",Condition,ICD10CM,132841,Malignant lymphoma of lymph nodes of multiple sites
45532951,C83.80,"Other non-follicular lymphoma, unspecified site",malignancy,n/a,C8,"Other non-follicular lymphoma, unspecified site",Condition,ICD10CM,4003830,Diffuse non-Hodgkin's lymphoma
45532952,C83.89,"Other non-follicular lymphoma, extranodal and solid organ sites",malignancy,n/a,C8,"Other non-follicular lymphoma, extranodal and solid organ sites",Condition,ICD10CM,440058,Malignant lymphoma of extranodal AND/OR solid organ site
45532952,C83.89,"Other non-follicular lymphoma, extranodal and solid organ sites",malignancy,n/a,C8,"Other non-follicular lymphoma, extranodal and solid organ sites",Condition,ICD10CM,4003830,Diffuse non-Hodgkin's lymphoma
45532953,C84.90,"Mature T/NK-cell lymphomas, unspecified, unspecified site",malignancy,n/a,C8,"Mature T/NK-cell lymphomas, unspecified, unspecified site",Condition,ICD10CM,4225982,Mature T-cell AND/OR NK cell neoplasm
45532954,C84.96,"Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes",malignancy,n/a,C8,"Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes",Condition,ICD10CM,195195,Malignant lymphoma of intrapelvic lymph nodes
45532954,C84.96,"Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes",malignancy,n/a,C8,"Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes",Condition,ICD10CM,4225982,Mature T-cell AND/OR NK cell neoplasm
45532955,C84.A4,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb",malignancy,n/a,C8,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb",Condition,ICD10CM,4082487,Cutaneous/peripheral T-cell lymphoma
45532955,C84.A4,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb",malignancy,n/a,C8,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb",Condition,ICD10CM,441521,Malignant lymphoma of lymph nodes of axilla AND/OR upper limb
45532958,C91.30,Prolymphocytic leukemia of B-cell type not having achieved remission,malignancy,n/a,C913,Prolymphocytic leukemia of B-cell type not having achieved remission,Condition,ICD10CM,4173974,B-cell prolymphocytic leukemia
45532959,C92.02,"Acute myeloblastic leukemia, in relapse",malignancy,n/a,C92,"Acute myeloblastic leukemia, in relapse",Condition,ICD10CM,140352,"Acute myeloid leukemia, disease"
45532960,C92.30,"Myeloid sarcoma, not having achieved remission",malignancy,n/a,C92,"Myeloid sarcoma, not having achieved remission",Condition,ICD10CM,140967,Myeloid sarcoma
45532961,C92.40,"Acute promyelocytic leukemia, not having achieved remission",malignancy,n/a,C92,"Acute promyelocytic leukemia, not having achieved remission",Condition,ICD10CM,4002497,"Acute promyelocytic leukemia, FAB M3"
45532962,C92.62,Acute myeloid leukemia with 11q23-abnormality in relapse,malignancy,n/a,C92,Acute myeloid leukemia with 11q23-abnormality in relapse,Condition,ICD10CM,40481524,Acute myeloid leukemia with t(9:11)(p22;q23); MLLT3-MLL
45532963,C92.A2,"Acute myeloid leukemia with multilineage dysplasia, in relapse",malignancy,n/a,C92,"Acute myeloid leukemia with multilineage dysplasia, in relapse",Condition,ICD10CM,40483761,Acute myeloid leukemia with myelodysplasia-related changes
45532964,C94.32,"Mast cell leukemia, in relapse",malignancy,n/a,C943,"Mast cell leukemia, in relapse",Condition,ICD10CM,4002496,Mast cell leukemia (clinical)
45532965,C95.12,"Chronic leukemia of unspecified cell type, in relapse",malignancy,n/a,C95,"Chronic leukemia of unspecified cell type, in relapse",Condition,ICD10CM,140057,Chronic leukemia
45532989,D56.5,Hemoglobin E-beta thalassemia,hematological,no,D565,Hemoglobin E-beta thalassemia,Condition,ICD10CM,4120455,Hemoglobin E/beta thalassemia disease
45532992,D61.01,Constitutional (pure) red blood cell aplasia,hematological,yes,D610,Constitutional (pure) red blood cell aplasia,Condition,ICD10CM,4146087,Constitutional red cell aplasia and hypoplasia
45532997,D70.0,Congenital agranulocytosis,immunological,yes,D700,Congenital agranulocytosis,Condition,ICD10CM,434895,Congenital neutropenia
45533009,E08.21,Diabetes mellitus due to underlying condition with diabetic nephropathy,endocrinological,no,E08,Diabetes mellitus due to underlying condition with diabetic nephropathy,Condition,ICD10CM,195771,Secondary diabetes mellitus
45533009,E08.21,Diabetes mellitus due to underlying condition with diabetic nephropathy,endocrinological,no,E08,Diabetes mellitus due to underlying condition with diabetic nephropathy,Condition,ICD10CM,192279,Disorder of kidney due to diabetes mellitus
45533010,E08.311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,endocrinological,no,E08,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,Condition,ICD10CM,195771,Secondary diabetes mellitus
45533010,E08.311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,endocrinological,no,E08,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,Condition,ICD10CM,380097,Macular edema due to diabetes mellitus
45533011,E08.620,Diabetes mellitus due to underlying condition with diabetic dermatitis,endocrinological,no,E08,Diabetes mellitus due to underlying condition with diabetic dermatitis,Condition,ICD10CM,4033942,Diabetic dermopathy
45533011,E08.620,Diabetes mellitus due to underlying condition with diabetic dermatitis,endocrinological,no,E08,Diabetes mellitus due to underlying condition with diabetic dermatitis,Condition,ICD10CM,195771,Secondary diabetes mellitus
45533013,E09.43,Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy,endocrinological,no,E09,Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy,Condition,ICD10CM,4234742,Diabetic neuropathy with neurologic complication
45533013,E09.43,Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy,endocrinological,no,E09,Drug or chemical induced diabetes mellitus with neurological complications with diabetic autonomic (poly)neuropathy,Condition,ICD10CM,4202383,Drug-induced diabetes mellitus
45533014,E09.610,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,endocrinological,no,E09,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,Condition,ICD10CM,4114427,Neuropathic arthropathy due to diabetes mellitus
45533014,E09.610,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,endocrinological,no,E09,Drug or chemical induced diabetes mellitus with diabetic neuropathic arthropathy,Condition,ICD10CM,4202383,Drug-induced diabetes mellitus
45533015,E09.9,Drug or chemical induced diabetes mellitus without complications,endocrinological,no,E09,Drug or chemical induced diabetes mellitus without complications,Condition,ICD10CM,4202383,Drug-induced diabetes mellitus
45533017,E10.43,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,endocrinological,no,E10,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,Condition,ICD10CM,37016767,Autonomic neuropathy due to type 1 diabetes mellitus
45533018,E10.65,Type 1 diabetes mellitus with hyperglycemia,endocrinological,no,E10,Type 1 diabetes mellitus with hyperglycemia,Condition,ICD10CM,201254,Type 1 diabetes mellitus
45533018,E10.65,Type 1 diabetes mellitus with hyperglycemia,endocrinological,no,E10,Type 1 diabetes mellitus with hyperglycemia,Condition,ICD10CM,37016348,Hyperglycemia due to type 1 diabetes mellitus
45533019,E11.39,Type 2 diabetes mellitus with other diabetic ophthalmic complication,endocrinological,no,E11,Type 2 diabetes mellitus with other diabetic ophthalmic complication,Condition,ICD10CM,443733,Disorder of eye due to type 2 diabetes mellitus
45533020,E11.44,Type 2 diabetes mellitus with diabetic amyotrophy,endocrinological,no,E11,Type 2 diabetes mellitus with diabetic amyotrophy,Condition,ICD10CM,4140466,Lumbosacral radiculoplexus neuropathy due to type 2 diabetes mellitus
45533021,E11.51,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,endocrinological,no,E11,Type 2 diabetes mellitus with diabetic peripheral angiopathy without gangrene,Condition,ICD10CM,443729,Peripheral circulatory disorder due to type 2 diabetes mellitus
45533022,E11.52,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,endocrinological,no,E11,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,Condition,ICD10CM,4131908,Peripheral angiopathy due to diabetes mellitus
45533022,E11.52,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,endocrinological,no,E11,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,Condition,ICD10CM,201826,Type 2 diabetes mellitus
45533022,E11.52,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,endocrinological,no,E11,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene,Condition,ICD10CM,4222876,Gangrene due to type 2 diabetes mellitus
45533023,E11.630,Type 2 diabetes mellitus with periodontal disease,endocrinological,no,E11,Type 2 diabetes mellitus with periodontal disease,Condition,ICD10CM,134398,Periodontal disease
45533023,E11.630,Type 2 diabetes mellitus with periodontal disease,endocrinological,no,E11,Type 2 diabetes mellitus with periodontal disease,Condition,ICD10CM,201826,Type 2 diabetes mellitus
45533023,E11.630,Type 2 diabetes mellitus with periodontal disease,endocrinological,no,E11,Type 2 diabetes mellitus with periodontal disease,Condition,ICD10CM,442793,Complication due to diabetes mellitus
45533024,E13.649,Other specified diabetes mellitus with hypoglycemia without coma,endocrinological,no,E13,Other specified diabetes mellitus with hypoglycemia without coma,Condition,ICD10CM,4029423,Hypoglycemia due to diabetes mellitus
45533024,E13.649,Other specified diabetes mellitus with hypoglycemia without coma,endocrinological,no,E13,Other specified diabetes mellitus with hypoglycemia without coma,Condition,ICD10CM,201820,Diabetes mellitus
45533026,E26.01,Conn's syndrome,endocrinological,no,E260,Conn's syndrome,Condition,ICD10CM,434000,Primary aldosteronism
45533038,E71.440,Ruvalcaba-Myhre-Smith syndrome,metabolic,yes,E7144,Ruvalcaba-Myhre-Smith syndrome,Condition,ICD10CM,4124993,Bannayan syndrome
45533039,E72.03,Lowe's syndrome,metabolic,yes,E7203,Lowe's syndrome,Condition,ICD10CM,4194065,Lowe syndrome
45533047,E83.10,"Disorder of iron metabolism, unspecified",metabolic,yes,E83,"Disorder of iron metabolism, unspecified",Condition,ICD10CM,434614,Disorder of iron metabolism
45533049,E84.11,Meconium ileus in cystic fibrosis,pulmonary,yes,E84,Meconium ileus in cystic fibrosis,Condition,ICD10CM,193174,Cystic fibrosis with meconium ileus
45533111,F45.22,Body dysmorphic disorder,mental health,no,F4522,Body dysmorphic disorder,Condition,ICD10CM,4306640,Body dysmorphic disorder
45533135,G40.201,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus",neurological,no,G402,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus",Condition,ICD10CM,4101747,Localization-related(focal)(partial)idiopathic epilepsy and epileptic syndromes with seizures of localized onset
45533135,G40.201,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus",neurological,no,G402,"Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, not intractable, with status epilepticus",Condition,ICD10CM,4332304,Status epilepticus
45533154,G56.42,Causalgia of left upper limb,neurological,no,G56,Causalgia of left upper limb,Condition,ICD10CM,4237315,"Complex regional pain syndrome, type II, upper limb"
45533157,G57.01,"Lesion of sciatic nerve, right lower limb",neurological,no,G57,"Lesion of sciatic nerve, right lower limb",Condition,ICD10CM,372888,Sciatic nerve lesion
45533158,G57.22,"Lesion of femoral nerve, left lower limb",neurological,no,G57,"Lesion of femoral nerve, left lower limb",Condition,ICD10CM,439807,Femoral neuropathy
45533161,G61.81,Chronic inflammatory demyelinating polyneuritis,neurological,no,G6181,Chronic inflammatory demyelinating polyneuritis,Condition,ICD10CM,381009,Chronic inflammatory demyelinating polyradiculoneuropathy
45533169,G83.11,Monoplegia of lower limb affecting right dominant side,neurological,no,G831,Monoplegia of lower limb affecting right dominant side,Condition,ICD10CM,4144328,Monoplegia of lower limb affecting dominant side
45533170,G83.33,"Monoplegia, unspecified affecting right nondominant side",neurological,no,G833,"Monoplegia, unspecified affecting right nondominant side",Condition,ICD10CM,381548,Monoplegia
45533230,H15.002,"Unspecified scleritis, left eye",ophthalmological,no,H150,"Unspecified scleritis, left eye",Condition,ICD10CM,434944,Scleritis
45533231,H15.011,"Anterior scleritis, right eye",ophthalmological,no,H150,"Anterior scleritis, right eye",Condition,ICD10CM,441582,Anterior scleritis
45533232,H15.041,"Scleritis with corneal involvement, right eye",ophthalmological,no,H150,"Scleritis with corneal involvement, right eye",Condition,ICD10CM,432637,Scleritis with corneal involvement
45533234,H15.051,"Scleromalacia perforans, right eye",ophthalmological,no,H150,"Scleromalacia perforans, right eye",Condition,ICD10CM,432645,Scleromalacia perforans
45533238,H15.812,"Equatorial staphyloma, left eye",ophthalmological,no,H158,"Equatorial staphyloma, left eye",Condition,ICD10CM,444254,Equatorial staphyloma
45533239,H15.839,"Staphyloma posticum, unspecified eye",ophthalmological,no,H158,"Staphyloma posticum, unspecified eye",Condition,ICD10CM,438767,Staphyloma posticum
45533268,H20.11,"Chronic iridocyclitis, right eye",ophthalmological,no,H201,"Chronic iridocyclitis, right eye",Condition,ICD10CM,434926,Iridocyclitis
45533272,H21.253,"Iridoschisis, bilateral",ophthalmological,no,H212,"Iridoschisis, bilateral",Condition,ICD10CM,442301,Iridoschisis
45533273,H21.261,"Iris atrophy (essential) (progressive), right eye",ophthalmological,no,H212,"Iris atrophy (essential) (progressive), right eye",Condition,ICD10CM,439011,Progressive iris atrophy
45533275,H21.552,"Recession of chamber angle, left eye",ophthalmological,no,H2155,"Recession of chamber angle, left eye",Condition,ICD10CM,441289,Recession of chamber angle
45533276,H21.559,"Recession of chamber angle, unspecified eye",ophthalmological,no,H2155,"Recession of chamber angle, unspecified eye",Condition,ICD10CM,441289,Recession of chamber angle
45533283,H27.02,"Aphakia, left eye",ophthalmological,no,H270,"Aphakia, left eye",Condition,ICD10CM,381033,Aphakia
45533284,H27.113,"Subluxation of lens, bilateral",ophthalmological,no,H2711,"Subluxation of lens, bilateral",Condition,ICD10CM,376123,Subluxation of lens
45533285,H27.132,"Posterior dislocation of lens, left eye",ophthalmological,no,H2713,"Posterior dislocation of lens, left eye",Condition,ICD10CM,374363,Posterior dislocation of lens
45533287,H30.119,"Disseminated chorioretinal inflammation of posterior pole, unspecified eye",ophthalmological,no,H301,"Disseminated chorioretinal inflammation of posterior pole, unspecified eye",Condition,ICD10CM,4109410,Disseminated posterior pole chorioretinitis
45533288,H30.122,"Disseminated chorioretinal inflammation, peripheral, left eye",ophthalmological,no,H301,"Disseminated chorioretinal inflammation, peripheral, left eye",Condition,ICD10CM,4104213,Disseminated peripheral chorioretinitis
45533289,H30.23,"Posterior cyclitis, bilateral",ophthalmological,no,H302,"Posterior cyclitis, bilateral",Condition,ICD10CM,4197154,Posterior cyclitis
45533290,H31.099,"Other chorioretinal scars, unspecified eye",ophthalmological,no,H310,"Other chorioretinal scars, unspecified eye",Condition,ICD10CM,433196,Chorioretinal scar
45533291,H33.011,"Retinal detachment with single break, right eye",ophthalmological,no,H330,"Retinal detachment with single break, right eye",Condition,ICD10CM,46273180,Retinal detachment with single break
45533292,H33.021,"Retinal detachment with multiple breaks, right eye",ophthalmological,no,H330,"Retinal detachment with multiple breaks, right eye",Condition,ICD10CM,46273990,Retinal detachment with multiple breaks
45533293,H33.059,"Total retinal detachment, unspecified eye",ophthalmological,no,H330,"Total retinal detachment, unspecified eye",Condition,ICD10CM,45757695,Total retinal detachment
45533294,H33.103,"Unspecified retinoschisis, bilateral",ophthalmological,no,H3310,"Unspecified retinoschisis, bilateral",Condition,ICD10CM,381282,Retinoschisis
45533295,H33.199,"Other retinoschisis and retinal cysts, unspecified eye",ophthalmological,no,H3319,"Other retinoschisis and retinal cysts, unspecified eye",Condition,ICD10CM,378423,Retinoschisis and retinal cysts
45533296,H33.333,"Multiple defects of retina without detachment, bilateral",ophthalmological,no,H333,"Multiple defects of retina without detachment, bilateral",Condition,ICD10CM,442782,Multiple defects of retina without detachment
45533300,H35.00,Unspecified background retinopathy,ophthalmological,no,H350,Unspecified background retinopathy,Condition,ICD10CM,378416,Retinal disorder
45533302,H35.051,"Retinal neovascularization, unspecified, right eye",ophthalmological,no,H350,"Retinal neovascularization, unspecified, right eye",Condition,ICD10CM,433471,Retinal neovascularization
45533303,H35.073,"Retinal telangiectasis, bilateral",ophthalmological,no,H350,"Retinal telangiectasis, bilateral",Condition,ICD10CM,441555,Retinal telangiectasia
45533304,H35.09,Other intraretinal microvascular abnormalities,ophthalmological,no,H350,Other intraretinal microvascular abnormalities,Condition,ICD10CM,440710,Intraretinal microvascular abnormality
